uri,points
http://bartoc.org/en/node/1618,2115
http://bartoc.org/en/node/122,2114
http://bartoc.org/en/node/1607,2111
http://bartoc.org/en/node/500,2106
http://bartoc.org/en/node/17755,2099
http://bartoc.org/en/node/45,2098
http://bartoc.org/en/node/18614,2095
http://bartoc.org/en/node/18339,2087
http://bartoc.org/en/node/1042,2084
http://bartoc.org/en/node/17786,2082
http://bartoc.org/en/node/2021,2078
http://bartoc.org/en/node/18613,2077
http://bartoc.org/en/node/18500,2072
http://bartoc.org/en/node/1788,2071
http://bartoc.org/en/node/1334,2070
http://bartoc.org/en/node/1577,2067
http://bartoc.org/en/node/186,2063
http://bartoc.org/en/node/684,2061
http://bartoc.org/en/node/144,2060
http://bartoc.org/en/node/39,2060
http://bartoc.org/en/node/1588,2058
http://bartoc.org/en/node/123,2057
http://bartoc.org/en/node/1438,2056
http://bartoc.org/en/node/1074,2055
http://bartoc.org/en/node/492,2054
http://bartoc.org/en/node/1602,2053
http://bartoc.org/en/node/18524,2050
http://bartoc.org/en/node/1701,2049
http://bartoc.org/en/node/450,2046
http://bartoc.org/en/node/1695,2036
http://bartoc.org/en/node/18472,2035
http://bartoc.org/en/node/18640,2032
http://bartoc.org/en/node/17778,2031
http://bartoc.org/en/node/17774,2028
http://bartoc.org/en/node/18568,2025
http://bartoc.org/en/node/915,2025
http://bartoc.org/en/node/18534,2025
http://bartoc.org/en/node/65,2020
http://bartoc.org/en/node/18641,2015
http://bartoc.org/en/node/18621,2014
http://bartoc.org/en/node/439,2010
http://bartoc.org/en/node/49,2008
http://bartoc.org/en/node/18572,2008
http://bartoc.org/en/node/41,2006
http://bartoc.org/en/node/1589,2004
http://bartoc.org/en/node/1822,2004
http://bartoc.org/en/node/1555,2002
http://bartoc.org/en/node/299,1991
http://bartoc.org/en/node/89,1990
http://bartoc.org/en/node/18437,1987
http://bartoc.org/en/node/366,1985
http://bartoc.org/en/node/17731,1983
http://bartoc.org/en/node/237,1981
http://bartoc.org/en/node/811,1981
http://bartoc.org/en/node/18649,1978
http://bartoc.org/en/node/1756,1977
http://bartoc.org/en/node/99,1976
http://bartoc.org/en/node/1611,1976
http://bartoc.org/en/node/17753,1975
http://bartoc.org/en/node/1683,1970
http://bartoc.org/en/node/1903,1962
http://bartoc.org/en/node/1063,1961
http://bartoc.org/en/node/25,1960
http://bartoc.org/en/node/1802,1958
http://bartoc.org/en/node/160,1957
http://bartoc.org/en/node/18603,1955
http://bartoc.org/en/node/1616,1953
http://bartoc.org/en/node/1606,1953
http://bartoc.org/en/node/662,1951
http://bartoc.org/en/node/143,1950
http://bartoc.org/en/node/18551,1950
http://bartoc.org/en/node/1840,1948
http://bartoc.org/en/node/1604,1948
http://bartoc.org/en/node/28,1947
http://bartoc.org/en/node/264,1944
http://bartoc.org/en/node/1224,1943
http://bartoc.org/en/node/18796,1942
http://bartoc.org/en/node/18645,1941
http://bartoc.org/en/node/1614,1941
http://bartoc.org/en/node/1684,1941
http://bartoc.org/en/node/18642,1941
http://bartoc.org/en/node/957,1940
http://bartoc.org/en/node/70,1940
http://bartoc.org/en/node/17784,1939
http://bartoc.org/en/node/1605,1938
http://bartoc.org/en/node/311,1935
http://bartoc.org/en/node/18547,1934
http://bartoc.org/en/node/1403,1930
http://bartoc.org/en/node/18660,1929
http://bartoc.org/en/node/459,1929
http://bartoc.org/en/node/1880,1927
http://bartoc.org/en/node/301,1926
http://bartoc.org/en/node/2077,1926
http://bartoc.org/en/node/185,1926
http://bartoc.org/en/node/1406,1924
http://bartoc.org/en/node/1562,1924
http://bartoc.org/en/node/1351,1922
http://bartoc.org/en/node/239,1922
http://bartoc.org/en/node/18439,1921
http://bartoc.org/en/node/933,1920
http://bartoc.org/en/node/18646,1919
http://bartoc.org/en/node/17803,1919
http://bartoc.org/en/node/18648,1919
http://bartoc.org/en/node/709,1919
http://bartoc.org/en/node/18588,1918
http://bartoc.org/en/node/18550,1918
http://bartoc.org/en/node/22,1917
http://bartoc.org/en/node/18435,1912
http://bartoc.org/en/node/365,1912
http://bartoc.org/en/node/1411,1910
http://bartoc.org/en/node/18506,1910
http://bartoc.org/en/node/1070,1909
http://bartoc.org/en/node/2053,1909
http://bartoc.org/en/node/294,1909
http://bartoc.org/en/node/1377,1909
http://bartoc.org/en/node/898,1908
http://bartoc.org/en/node/812,1906
http://bartoc.org/en/node/17732,1905
http://bartoc.org/en/node/972,1900
http://bartoc.org/en/node/18601,1899
http://bartoc.org/en/node/226,1896
http://bartoc.org/en/node/389,1891
http://bartoc.org/en/node/331,1891
http://bartoc.org/en/node/897,1891
http://bartoc.org/en/node/18590,1888
http://bartoc.org/en/node/349,1887
http://bartoc.org/en/node/1916,1882
http://bartoc.org/en/node/18431,1880
http://bartoc.org/en/node/18538,1879
http://bartoc.org/en/node/303,1879
http://bartoc.org/en/node/18546,1877
http://bartoc.org/en/node/18549,1876
http://bartoc.org/en/node/100,1876
http://bartoc.org/en/node/420,1876
http://bartoc.org/en/node/297,1874
http://bartoc.org/en/node/18436,1872
http://bartoc.org/en/node/1884,1870
http://bartoc.org/en/node/21,1870
http://bartoc.org/en/node/1632,1869
http://bartoc.org/en/node/64,1866
http://bartoc.org/en/node/437,1864
http://bartoc.org/en/node/1603,1863
http://bartoc.org/en/node/1710,1861
http://bartoc.org/en/node/138,1861
http://bartoc.org/en/node/18484,1858
http://bartoc.org/en/node/18234,1857
http://bartoc.org/en/node/18659,1856
http://bartoc.org/en/node/1600,1854
http://bartoc.org/en/node/935,1853
http://bartoc.org/en/node/1539,1852
http://bartoc.org/en/node/23,1852
http://bartoc.org/en/node/140,1852
http://bartoc.org/en/node/18548,1851
http://bartoc.org/en/node/18507,1849
http://bartoc.org/en/node/17,1849
http://bartoc.org/en/node/18565,1847
http://bartoc.org/en/node/716,1845
http://bartoc.org/en/node/18533,1844
http://bartoc.org/en/node/999,1844
http://bartoc.org/en/node/298,1843
http://bartoc.org/en/node/1705,1842
http://bartoc.org/en/node/1883,1841
http://bartoc.org/en/node/18647,1840
http://bartoc.org/en/node/782,1839
http://bartoc.org/en/node/18596,1836
http://bartoc.org/en/node/17798,1835
http://bartoc.org/en/node/1026,1835
http://bartoc.org/en/node/1697,1833
http://bartoc.org/en/node/824,1829
http://bartoc.org/en/node/43,1825
http://bartoc.org/en/node/2011,1824
http://bartoc.org/en/node/136,1824
http://bartoc.org/en/node/1023,1823
http://bartoc.org/en/node/17728,1823
http://bartoc.org/en/node/18598,1817
http://bartoc.org/en/node/18508,1816
http://bartoc.org/en/node/278,1815
http://bartoc.org/en/node/1793,1814
http://bartoc.org/en/node/454,1814
http://bartoc.org/en/node/910,1813
http://bartoc.org/en/node/66,1812
http://bartoc.org/en/node/1911,1812
http://bartoc.org/en/node/32,1811
http://bartoc.org/en/node/296,1806
http://bartoc.org/en/node/212,1804
http://bartoc.org/en/node/1062,1803
http://bartoc.org/en/node/1666,1801
http://bartoc.org/en/node/1565,1800
http://bartoc.org/en/node/343,1799
http://bartoc.org/en/node/896,1795
http://bartoc.org/en/node/17783,1795
http://bartoc.org/en/node/436,1793
http://bartoc.org/en/node/18567,1791
http://bartoc.org/en/node/18583,1791
http://bartoc.org/en/node/720,1790
http://bartoc.org/en/node/1694,1790
http://bartoc.org/en/node/18794,1789
http://bartoc.org/en/node/18609,1789
http://bartoc.org/en/node/17793,1788
http://bartoc.org/en/node/848,1784
http://bartoc.org/en/node/1652,1784
http://bartoc.org/en/node/18532,1784
http://bartoc.org/en/node/18545,1782
http://bartoc.org/en/node/1615,1782
http://bartoc.org/en/node/1423,1781
http://bartoc.org/en/node/1297,1779
http://bartoc.org/en/node/18610,1777
http://bartoc.org/en/node/18581,1775
http://bartoc.org/en/node/17733,1773
http://bartoc.org/en/node/40,1772
http://bartoc.org/en/node/1050,1771
http://bartoc.org/en/node/18434,1769
http://bartoc.org/en/node/18459,1767
http://bartoc.org/en/node/248,1764
http://bartoc.org/en/node/18386,1764
http://bartoc.org/en/node/932,1763
http://bartoc.org/en/node/63,1761
http://bartoc.org/en/node/18793,1759
http://bartoc.org/en/node/18597,1758
http://bartoc.org/en/node/1865,1757
http://bartoc.org/en/node/931,1756
http://bartoc.org/en/node/285,1755
http://bartoc.org/en/node/320,1755
http://bartoc.org/en/node/18349,1755
http://bartoc.org/en/node/18622,1754
http://bartoc.org/en/node/1902,1754
http://bartoc.org/en/node/2033,1753
http://bartoc.org/en/node/18503,1752
http://bartoc.org/en/node/214,1752
http://bartoc.org/en/node/18795,1751
http://bartoc.org/en/node/1658,1751
http://bartoc.org/en/node/1049,1751
http://bartoc.org/en/node/163,1750
http://bartoc.org/en/node/18536,1749
http://bartoc.org/en/node/61,1747
http://bartoc.org/en/node/173,1744
http://bartoc.org/en/node/443,1741
http://bartoc.org/en/node/1537,1739
http://bartoc.org/en/node/804,1738
http://bartoc.org/en/node/18585,1738
http://bartoc.org/en/node/115,1737
http://bartoc.org/en/node/1235,1736
http://bartoc.org/en/node/58,1734
http://bartoc.org/en/node/18475,1733
http://bartoc.org/en/node/18471,1733
http://bartoc.org/en/node/922,1733
http://bartoc.org/en/node/1549,1732
http://bartoc.org/en/node/1668,1732
http://bartoc.org/en/node/1780,1730
http://bartoc.org/en/node/1481,1730
http://bartoc.org/en/node/1977,1729
http://bartoc.org/en/node/18569,1728
http://bartoc.org/en/node/18514,1728
http://bartoc.org/en/node/18542,1726
http://bartoc.org/en/node/129,1725
http://bartoc.org/en/node/1750,1725
http://bartoc.org/en/node/1621,1724
http://bartoc.org/en/node/1566,1723
http://bartoc.org/en/node/18620,1722
http://bartoc.org/en/node/47,1722
http://bartoc.org/en/node/1598,1721
http://bartoc.org/en/node/316,1721
http://bartoc.org/en/node/18483,1721
http://bartoc.org/en/node/18544,1720
http://bartoc.org/en/node/18433,1719
http://bartoc.org/en/node/1257,1718
http://bartoc.org/en/node/1869,1718
http://bartoc.org/en/node/713,1718
http://bartoc.org/en/node/18658,1712
http://bartoc.org/en/node/62,1712
http://bartoc.org/en/node/1590,1711
http://bartoc.org/en/node/17799,1711
http://bartoc.org/en/node/476,1710
http://bartoc.org/en/node/18657,1710
http://bartoc.org/en/node/476,1710
http://bartoc.org/en/node/1330,1710
http://bartoc.org/en/node/313,1705
http://bartoc.org/en/node/1376,1702
http://bartoc.org/en/node/434,1700
http://bartoc.org/en/node/17656,1698
http://bartoc.org/en/node/353,1697
http://bartoc.org/en/node/928,1697
http://bartoc.org/en/node/540,1696
http://bartoc.org/en/node/243,1695
http://bartoc.org/en/node/1961,1694
http://bartoc.org/en/node/18531,1693
http://bartoc.org/en/node/18627,1693
http://bartoc.org/en/node/18589,1692
http://bartoc.org/en/node/179,1692
http://bartoc.org/en/node/412,1691
http://bartoc.org/en/node/1897,1690
http://bartoc.org/en/node/549,1690
http://bartoc.org/en/node/1975,1689
http://bartoc.org/en/node/541,1689
http://bartoc.org/en/node/309,1688
http://bartoc.org/en/node/894,1688
http://bartoc.org/en/node/18420,1686
http://bartoc.org/en/node/796,1685
http://bartoc.org/en/node/1571,1685
http://bartoc.org/en/node/1974,1685
http://bartoc.org/en/node/1586,1682
http://bartoc.org/en/node/1583,1680
http://bartoc.org/en/node/1540,1679
http://bartoc.org/en/node/397,1679
http://bartoc.org/en/node/1634,1679
http://bartoc.org/en/node/18515,1678
http://bartoc.org/en/node/433,1676
http://bartoc.org/en/node/427,1675
http://bartoc.org/en/node/238,1675
http://bartoc.org/en/node/1350,1674
http://bartoc.org/en/node/391,1673
http://bartoc.org/en/node/1870,1672
http://bartoc.org/en/node/546,1669
http://bartoc.org/en/node/267,1668
http://bartoc.org/en/node/150,1665
http://bartoc.org/en/node/375,1663
http://bartoc.org/en/node/929,1663
http://bartoc.org/en/node/1686,1663
http://bartoc.org/en/node/18543,1663
http://bartoc.org/en/node/1642,1662
http://bartoc.org/en/node/1649,1662
http://bartoc.org/en/node/17726,1662
http://bartoc.org/en/node/30,1662
http://bartoc.org/en/node/42,1661
http://bartoc.org/en/node/1950,1660
http://bartoc.org/en/node/919,1659
http://bartoc.org/en/node/27,1658
http://bartoc.org/en/node/345,1658
http://bartoc.org/en/node/142,1657
http://bartoc.org/en/node/470,1656
http://bartoc.org/en/node/258,1656
http://bartoc.org/en/node/666,1656
http://bartoc.org/en/node/895,1655
http://bartoc.org/en/node/95,1654
http://bartoc.org/en/node/1779,1653
http://bartoc.org/en/node/18570,1652
http://bartoc.org/en/node/18591,1651
http://bartoc.org/en/node/18723,1651
http://bartoc.org/en/node/890,1651
http://bartoc.org/en/node/1563,1650
